example,label
@kako_onakasuita デジャヴュｗ,unusable
"@umitozdag Ve 9- Ülkemize 1923 ten sonra getirilen ermeni,yahudi ve diğer devşirmeler tespit edilerek şu ana kadar yaptıkları mal varlıklarına el konulmalı, getirildikleri ülkelere geri gönderilmelidir.",provocative
@Anketimsi Biz CHPli halimizle HDP’ye oy veriyoruz baraj geçsinler diye bunlar CHP’ye veriyor,political
"@Aeruginoosa @drozcanyucel Teşekkürler, zaten alerjik geçmişi, astımı olupta reaksiyon geçiren duymadım ama benim gibi bu tarz rahatsızlıklara alakası olmayan 2 kişi duydum başına böyle şey gelen. Ne diyorlarsa tersi çıkıyor ben bir onu anladım bu işten.",neither
"why yes I have been posting more since I’ve been running errands for the past two hours and will duly stfu for the rest of the day, hows y’all satyrday  https://t.co/B9vqk8NJXn",unusable
@huzursuzayakse1 @OguzGuvercin @CAdiyamanli @ihsanaktas Yok bizde çalışanların çoğunun kendi evi arabası var. Ama edepsiz olunca böyle kendini tanımlarken karşındakine laf soktuğunu zannedersin! Önce efendi ol üslup öğren! Bitmeyen ergenliğinizi millete gösterip durmayın!,political
"@Emre1907T @Ozan Sende suc yok ki,sucun buyugu senin gibi bi velet kazanan babanda.",neither
Vakit birlik vaktidir Liberal ve Kemalist arkadaşlarım. Birbirimizi yemeyi bırakıp gerçek düşmana odaklanalım!,provocative
@sudegunesw Seni sessize almisim niye aldim hatirliyorum da neyse iconun hos degil bence headerle de uymamis zaten ama headerin hosuma gitti tweetlerin de normal flop kalmis zaten neysse bu kadar bb,neither
@TEKLAT71 @ExTx @fatihaltayli Senin olmayan aklini sikeym ben..teskilatmis...dunyadan bi haber beyinsiz burada ahkam kesiyor... O havalimanindan uyusturucu ve yasa disi ticaret disinda tek cikari olmaz akp nin,provocative
"ekranım paramparca, bazı yerleri gozukmuyor tweetleri okumak icin alt ust yapiyorum keske akpli birine denk gelsem de genclerin telefonu diye baslarken gotune soksam",provocative
@Cengiz68356305 @selmanogut Öyle şimdi sktir git dışarıdan getirilen ermeni yahudi yalanına inan 5 milyon suriyeli burada 1 milyon çocuk yapmışken,provocative
"quando ela entendeu do que eu tava falando, ela me explicou que não era o mundo que era branco e preto e sim as fotos que não saiam coloridas na época",unusable
@Duygukaryeli  https://t.co/3PB7GIrMko,unusable
"@mustafaastark İnce nin gözünden, bende yaptım.  https://t.co/8RxGPvpUkh",political
@manitateroru2 Vazgeç o zaman aaa,neither
@Gavatmisinn Ricaa 🤎,neither
"@Non_teist12 Çünkü Türkçesini okuyunca dinsiz oluyorsun. Bunu onlar da biliyor. O yüzden Türkçesinden hep kaçar, okumazlar",provocative
"I don’t watch a lot of wrestling anymore and haven’t since around 2007, but this is one of the top-3 loudest pops I’ve ever heard.  I’ve also watched every wrestling PPV up to around 2000 as my mom use to work at a video/game rental store.",unusable
"@_capulcu1881 Siz tatlısu müslümanlığı yapmaya gaipten birşeyler beklemeye devam ettikçe çalmaya devam edecekler. Allah değil, yargı adalet hukuk.",provocative
Tüm bunları alkışlayanlar Talibana yobaz diyor  🙄 sanki siz çok şeysiniz 🙄,provocative
"“That’s the most expensive Calipo I’ve ever bought” *frowns*  Seriously what do you expect me to do? Smile and say “oh I’ll give you 30p off?”?? No. Piss off. Don’t buy the bloody Calipo. Your kid was being obnoxious, he didn’t deserve it.",unusable
"@jajanbhlabels Aq heran y ama buyer d ina,,, takut bgt klo d block sellkor,,, tp semena2 ama seller ina,,, pdhal seller ina bnyak bgt yg baik,,, mau nimbun barang, dp kecil, ""booked"" dulu,,, kurang baik apa cb para seller ina ini 🥲",unusable
@tarihiimerak Kılık kıyafete saplantılı şu yobaz kemalist zihniyeti bırakın artık. Medeniyet kılık kıyafette olsaydı kemalist türkiye’den daha medeni bir millet olmazdı..,provocative
