example,label
@Vahdet61830864 @trhnnlfr_16 Hayırlı Cumalar kardeşim      #MinnettarızERDOĞAN,not manipulative
"""TALİBAN TEHDİT EDİYOR, BİZİ KURTARIN!""  Türk misyonu için çalışan Afgan tercümanlardan Türkiye'ye çağrı  https://t.co/Otz9fFRXS9  https://t.co/wsNLanv0Pm",not manipulative
"Foncu tayfa hazır toplanmışken keşke aralarına 2-3 Suriyeli, Afgan filan alsaydı belki propagandaları bu kadar yavan kalmazdı. 2021 model zararlı cemiyeti  https://t.co/UN0f9pCRVy",not manipulative
Yalancı ittifaklara karşı biz hep senin yanındayız! #MinnettarızERDOĞAN  https://t.co/CQ0lKpNXSJ,not manipulative
"#PcrDayatmasıDurdurulsun Ülkenin her kılcal damarına dinamit sıkıştırmak istiyorsunuz,hem Vatanın sınırlarını hem de insanımızın zihnini hallaç pamuğuna çevirip ülkeyi büyük bir kaos ortamına sokmak niyetiniz.Siz sorunları çözmek için değil bilakis sorun yaratmakla görevlisiniz++",manipulative
India trying to get back in match. Indian media or afgan_media  Confusion' in indian occupied kashmir #TalibanTakeover #talibanforprotectwomen   #afghanistanwomen Is safe in rule of talibaan ✌,unusable
@kuramsaldestek 36T Cebeci - Taksim otobüsünde daha fazla Afgan var valla.,manipulative
@demir___35 @ayseyvz16 #SınırlarımızıZorlamayın ‼️,unusable
Eşim köy okulunda çalışıyor 13 hanelik köy İlçe merkezine ulaşımımız 1 saat 45dk sürüyor kar kışını söylemiyorum üstüne bir de güvenlik riski var En önemlisi de 5 aylık çocuğumuz var Her iki günde bir gidip test olup gel diyenleri köyümüze bekleriz!!  #PcrDayatmasıDurdurulsun,not manipulative
#MinnettarızERDOĞAN Türkiye topraklarında minnettar olacağım tek kişi 🇹🇷 gerisi bağlar gazeli  https://t.co/3zmZA7Na8L,not manipulative
"Antalya’daki yangın kontrol altında 📌 #Çanakkale, #Pakdemirli, #Akseki, #orman #yangını #Antalya HABER İÇİN:👇  https://t.co/HO9Oz3z2gS",not manipulative
kyungsoo-suhyun-sam kim cover this song pls 🥺🙏🏽   afgan = kyungsoo isyana = suhyun rendy pandugo = sam kim    https://t.co/Y71H1vNF89,unusable
"düşünsenize mursi iktidardan el çektirilip darbe yapıldığında sisiye lanetler okunmuş yeni Mısır hükümeti tanınmamıştı, ancak Taliban mevcut hükümeti en acımasız şekilde deviriyor bizimkiler ise iyi niyet methiyeleri düzüyor, Taliban ile Sisinin farkını biri açıklar mı? 10 afgan",not manipulative
#MinnettarızERDOĞAN BİZİMKİSİ BİR AŞK HİKÂYESİ ....,not manipulative
"Hep dediğim gibi; hayatım boyunca iyi, doğru, dürüst ve düzgün olması gereken tek kişi benim. Bir önceki günümden daha bilgili, bir şeyler öğrenmiş ve iyi şeyler deneyimlemiş olması gereken kişi de benim. Gerisi de beni, yargılamak mânâsında hiç ilgilendirmez... #ProtestoEdiyorum",not manipulative
Elimizdeki Afgan erkekleri iade edip oradaki kadın ve kız çocuklarını alamaz mıyız,manipulative
Reis iyiki varsın #MinnettarızERDOĞAN,not manipulative
Tek başına kaçan korkak erkeklerine karşı direnen Afgan kadınları #AfganKadınlarlaDayanısmaya,manipulative
@ismetsirkel1453 @RTErdogan #MinnettarızERDOĞAN,unusable
"Pakistan: Hali hazırda 1.4 milyon Afgan’a ev sahipliği yapan Pakistan’ın ulusal güvenlik danışmanı Moeed Yusuf Temmuz ayında yaptığı açıklamada, “Pakistan olarak yardım etmeye hazırız, ancak bu sefer yeni mültecileri kabul edecek durumda değiliz."" dedi.",not manipulative
"Türkiye’de yaşamak istemediğini ve Afganistan’a geri dönüp orada ölmek istediğini söyleyen Afgan genç, sınır dışı edilmek üzere İl Göç İdaresi Müdürlüğü’ne teslim edildi.",not manipulative
"@avukatozbek @yvzah Çarpıtmayın lütfen. Kimse Atatürk'le Taliban arasında benzerlik kurmuyor. Gerçek şu ki, Afgan halkı da tıpkı Türkiye, Hindistan, Rusya, Çin, Kamboçya, Vietnam ve Küba gibi emperyalizme karşı savaşmış ve zafer kazanmıştır.",not manipulative
@Sibelaydgnn #SınırlarımızıZorlamayın ‼️,unusable
#ProtestoEdiyorum erdoğan: Türk ekonomisi toparlanma sürecini geride bıraktı şahlanış dönemine girdi..!  https://t.co/0DVxGKHEQE,not manipulative
"@TahirSimsek Bu adamın savunması şuan 5 yaşındaki cocugun savunması, göster millete o halde o kadar Afgan nerde şimdi? Niye geldiler? Niye gönderilmediler?",manipulative
@farukkaradag88 Sendika üyesi olmayanlar için de bir destek bekliyoruz #PcrDayatmasıDurdurulsun,unusable
gündem çok sinir bozucu yine  #sınırlarımızızorlamayın,not manipulative
@EsraDoa90653559 @videosepetii @ononnetflx Afgan kedisi bu uçaktan düşüyor,not manipulative
Söz konusu Vatansa Gerisi Teferruattır @RTErdogan 💡 @dbdevletbahceli  🤘  #MinnettarızERDOĞAN  #DaimaMilletininYanında  https://t.co/NdTnH8dpiv,not manipulative
"@muhammedalisma Haydi Türkiye, birlikte başaracağız 💙  TRT Spor Haftada 2 PCR testi 6 Eylül Kabine Toplantısı Afgan #RFCvGS Mülteci Çevik Bir Murat Kosava  #MemurSenAnkaraMitingi Çetin Doğan  Emre Akbaba  https://t.co/qnetP7PhVi",not manipulative
Hasta olmayan ya da hastalığa maruz kalmayan biri Kanunen PCR testine zorlanamaz.  #PcrDayatmasıDurdurulsun,manipulative
Futbollisti afgan vdes pasi u rrëzua nga aeroplani  https://t.co/hdCCpb8qja,unusable
Afgan ve Suriyeliler için İzmir’in nerdeyse tüm ilçelerin de Okullar açılacak. Keşke yarısını da Bolu da açsaydılar  İzmirliler artık Farsça ve Arapça öğrenebilecek 😎,manipulative
#MinnettarızERDOĞAN erdoğansız türkiye hayali kuruyorum. osmanlı+cumhuriyet dönemi dahilinde bu ülkenin başına gelmiş en cahil en iş bilmez en beceriksiz yönetici sensin erdoğan. Çoban bile senden daha sağlıklı yönetir bu ülkeyi.,not manipulative
"Taliban'ın sonu geldi, layik ablalar sokağa indi  Ele verir talkını, kendi yutar salkımı  #MinnettarızERDOĞAN  #HayırlıCumalar   https://t.co/zDeRnSZwU1",manipulative
Sözüm ona  özgürlük savunucusu  LİBERALLER NEREDE?  NEDEN SESİNİZ ÇIKMIYOR!    #PcrDayatmasıDurdurulsun,manipulative
@nossiha #MinnettarızERDOĞAN 🇹🇷🇹🇷🇹🇷,unusable
#PcrDayatmasıDurdurulsun Tanrı Türk ü korusun,not manipulative
@Kemal_Avserenn #SınırlarımızıZorlamayın #SınırNamustur,unusable
Kahramanmaraş Bertiz'de çıkan orman yangınına havadan müdahale eden yangın söndürme uçağı düştü. Bölgeye arama kurtarma ekipleri sevk edildi (DHA)  https://t.co/EnDGRVxugb,not manipulative
"@CanerKara_Tayma Afgan Cumhurbaşkanınin kaçışı bu millete ders olsun.Ülkene sahip çık ey millet!Ülkeyi satanlar,karıştıranlar bir gecede kaçar gider olan millete olur.Aklıni başına al.",not manipulative
#PcrDayatmasıDurdurulsun,unusable
@OktayDogan1983 Siz neden varsınız? #SınırlarımızıZorlamayın,manipulative
@caglarolce @tele1comtr Eylemin kedinin aptalca olması bir yana 1) Gelen Afganların arasında bir tane kadın geldi de biz nasıl kaçırdık?  2) Zenci haklarını savunuyoruz diye 1 milyar 200 bin Afrika'yı ülkeye sokup beslememiz mi gerekiyor? 3) Buradakilerin Afgan istemediğini nerenden çıkardın?,manipulative
#AfghanWomen #AfganKadınlarlaDayanısmaya #afghanistanwomen 1 Afgan kadını dünyanın bütün erkeklerinden daha değerli gözümde şu an.,manipulative
"Afgan haber ajansı Ariana, ABD uçağından düşerek hayatını kaybedenler arasında milli futbolcu Zaki Anwari'nin de bulunduğunu açıkladı.  https://t.co/tkIeCggu09",not manipulative
#MinnettarızERDOĞAN uyanın ben geçte olsa uyandım vatanı bırak milletini sattı deccaliyet projesine aşı olanlar virüsü yayıyor araştırın ormanlar yanarken söndürmek için vatandaşın yardımı bile engellendi niye bilyormusun şehirlerde ölüm ve kaos başladığında kaçacak yer olmasın,not manipulative
❌ Kılıçdaroğlu: Türkiye’ye 1.5 milyon Afgan mülteci alındı.  ✅ Erdoğan: Bu tamamen yalandır. Ülkede bulunan toplam Afgan sayısı 300 bindir. Gitmesi gerekenleri de gönderiyoruz.  #YalancıBayKemal,not manipulative
"@pintipanda ""Hollanda hükümeti için çalışan 166 Afgan vatandaşı ile aileleri tahliye edilecek. Bu kişilerin geçici istihdamı için Groningen kentindeki Zoutkamp kasabasında bir kışla kuruldu."" Sen olsan kendini riske atip afganlilara haber verir miydin?   https://t.co/vjPPwXTfxE",not manipulative
Nefesimiz için savaşan #OrmanınKahramanları var olun…  #OrmanİçinTekYürek  https://t.co/J3fNRSE2yj,not manipulative
Bir avuc lgbt'li ibnenin twitterdan sesini duyup onlara istediğini veren devletin bizim sesimizi duymamazlıktan geliyor olması çok acı #PcrDayatmasıDurdurulsun,manipulative
"@avrasyaciofke31 ""Sınır namustur, Afgan ordusu namusuzdur."" yazıyor.   “Nasara zeydün amran” yani “Dünya  Taliban’la güzelleşecek” yazıyor.  Dünyanın ağzına sıçacaklar.",manipulative
#PcrDayatmasıDurdurulsun,unusable
arkadaşlar ya lan  #MinnettarızERDOĞAN  https://t.co/tGELEyIEPO,not manipulative
"#MinnettarızERDOĞAN Erdoğan her gündem olduğunda Kilicdarogluna minnettarız diyemiyorlar, inönü'ye minnetariz diyemiyorlar, Baykal'a diyemiyorlar... Atatürkten başka lider çıkmadığını itiraf ediyorlar...",manipulative
@AjansMuhbir Türk evladı şehit olurken düğünde olan afgan kardeşi istediğinde yanında olur bu da öyle bi tip işte.,manipulative
@ZeynepA67388283 #SınırlarımızıZorlamayın zira bıçak kemiğe dayandı..!,manipulative
Sorunlara üst akılla Trumpın Bidene deyişiyke zihinsel kapasitinşn baş edilemez oluşuyla bir dahi olarak siyaset uslubuyla Türkiyenin çıkarı için çalıştığı süreler boyunca geçen emrğiyle   #MinnettarızERDOĞAN,manipulative
Kahramanmaraş'ta çıkan orman yangınına havadan müdahale eden yangın söndürme uçağı düştü. Bölgeye arama kurtarma ekipleri sevk edildi.  https://t.co/Id8peXIYsC,not manipulative
Geceni gündüzüne katarak Türk Milletine verdiğin emekler için SANA #MinnettarızERDOĞAN  https://t.co/KYgJRcbHwS,not manipulative
@cumhur077 @gasmkturk @reisci_001 @hedefimiz4107 @hasanunalll @BeyazDilekcee @Zeynep_Sohni @42Kny_ @__ONUR__10 @Muhammed7325 @mir__bey__10 @mer50706096 @Uilliam676 @hedef2023_1 @k_1453_1071 @hilaltasdelen5 @yenigull15 @meryem24223808 @VLDNSVM33 @AYARSIZ_28 @SokaktakiBilge @cumaotur14 @yorgunn54 @TatarFerruh @Muhslihiddinyi1 @MSC21_ @Su55Uz @Nuro_81 @Ramazan34351 @vatanmillet0571 @yorukoglu_efele @BaykanSapduzen @Ask_Sehri__ @LALE1511_55 @Olur2525 @PinaraydannP @Murato_1453 @42G_ko @gercekci87 @kayaUFK2 @Tug_2023_ @SercanTAYTAS @MELHHakanBatrk1 @ytastan38 @Mustafabaskan66 Recep Tayyip Erdoğan 'ın önderliğinde 19 yılda ülkemin başardıklarını gördükçe milletimizden çalınan 80 yıl için üzülmemek elde değil. #MinnettarızERDOĞAN,unusable
"Afganistan'da kadınların durumu hk Türkiye'de kadın örgütleri, aktivistler, Afgan sığınmacılar ve sanatçılar ortak duruş sergiliyorlar. Kadın ve kız çocukların 20 yıllık zorlu kazanımlarını yitirmesi ise tam bir kabus senaryosu.",not manipulative
AFGAN ANNENİN ÇIĞLIĞI VE ÇARESİZLİĞİ  Havalimanı tel örgüsünden bebeğini uzatan anne:  Lütfen bebeğimi alın götürün buradan  #taliban,not manipulative
"Birlikte yürüyecek daha çok yolumuz var. Aşkımız, sevdamız, yârimiz, yarınımız, vatanımız var.  #MinnettarızERDOĞAN  https://t.co/87AiZUDPba",not manipulative
@Su55Uz @zab1453 @MSC21_ @cumhur077 @reisci_001 @hedefimiz4107 @BeyazDilekcee @Zeynep_Sohni @42Kny_ @__ONUR__10 @Muhammed7325 @mir__bey__10 @mer50706096 @Uilliam676 @hedef2023_1 @k_1453_1071 @hilaltasdelen5 @yenigull15 @meryem24223808 @VLDNSVM33 @AYARSIZ_28 @SokaktakiBilge @cumaotur14 @yorgunn54 @TatarFerruh @Muhslihiddinyi1 @Nuro_81 @Ramazan34351 @vatanmillet0571 @yorukoglu_efele @BaykanSapduzen @Ask_Sehri__ Daima #MinnettarızErdoğan,unusable
@Ben_24444409 @Mer_yem____ @By__Muptela @A_yhs_ @AhmetReis66_cCc @manav_nilgun3 @mavi__1453_ @eelifsevenn_RT @ism_dayiRt @BozokFedaisi66 @__Zulal_ @nossiha @N_Macedonia_ @babacan_mhp66 @Garbiyelizzz @Fedai0666 @_AK_Delu @_Hafsa55_ ❤️🌹 #MinnettarızERDOĞAN,unusable
"@trumanshovv Filolojiden bi haber, dil ve anlamdan habersiz egitimli cahiller yuksek perdeden bagirip akillarindaki namusu dile getirince yine cok iyi savunma hatti olusturmuslar. O Afgan kadinlarin Turkiye versiyonlarina sokakta gorseler irkci ve kinci soylemlerle saldiriyorlar hergun.",not manipulative
#PcrDayatmasıDurdurulsun,unusable
"O maskeyi hiç takmayacaktık oyuna geldik, mesele asla sağlık değildi  #PcrDayatmasıDurdurulsun",manipulative
Delta plus 10 Afgan #Afghan #PcrDayatmasıDurdurulsun,unusable
Onece upon time  afganistan was modern afgan,unusable
Joe Biden is a disgrace all these countries think so to . If you dont think joe Biden was wrong for leaving Americans and military equipment in Afgan !! You a big idiot and just be thankful ur family isnt stuck there !!,unusable
1.5 milyon Afgan yok yalan diyor  Tek tek sayılıyor mu Daha dün 2 odada 115 Afgan yakalandı  Düzensiz sığınmacılar kayıt dışı ve varlar,not manipulative
"Haftada 2 kez hastaneye test için giderse zaten virüs yoksa bile  kapacaktır, Net ! #PcrDayatmasıDurdurulsun",not manipulative
@halktvcomtr Gerçekten #SınırlarımızıZorlamayın  Büyük geçmiş olsun,unusable
@Arzu54__ Bu sevgi bitmez  #MinnettarızERDOGAN,not manipulative
"@yukselkaratas8 @Mehmet_Tekin_M @EnverCelaleddin @nevsinmengu Ülke kapılarını sonuna kadar açıp iti kopuğun geçisiine izin verirsen, terörristlere de geçiş izni verirsin bu bir. İkincisi, orman yangınlarının nası çıkar çıksın, söndürme sorumluluğu devlettedir. Sırf PKK yangın çıkardı diye oturup yangının devam etmesini mi izlicez?",not manipulative
"Bilim kurulu faşist uygulamalara imza atarak insanlıktan ne kadar uzak olduklarını,Mini mini çocukları da her türlü faşist düşüncelerine alet ederek ,hasta ruhlu,şizofrenik kişiliğe sahip olduklarını sergilemekteler. #PcrDayatmasıDurdurulsun",manipulative
#MinnettarızERDOĞAN  https://t.co/qyepg1BFnC,unusable
"Eğer zalim ısrarla zulme devam ediyorsa, bil ki sonu yakındır . Eğer mazlum da ısrarla direniyorsa bil ki zafer yakındır. Hz Ali (r.a) #KabineBaskıyıKaldır mazsanız @Akparti oy yok. #BiyolojikÖlümAşı yı #ProtestoEdiyorum 3.doz yetmedi 4. dozlar tanımlanmış, kaçıncı dozda bitecek?",not manipulative
@aykiricomtr Ülkemizde 1.5 milyon Afgan olduğunu biliyoruz. İddia edildiği gibi 300 bin Afgan yok.,manipulative
#SınırlarımızıZorlamayın  https://t.co/qIBrZ9EucW,unusable
@drfahrettinkoca Sözde aşı dediğiniz sıvıyı vurulanların sayısı ölüm oranlarıyla paralel artıyor... Neden? #PCRtestinehayır #PcrDayatmasıDurdurulsun,manipulative
Geçen Acile gittim. Kaç tane sayamadım küçücük çocuklar anneleriyle birlikte iğne olmaya gelmişler. Size Anne demeye utanıyorum gerçekten. Yazik ! #PcrDayatmasıDurdurulsun,manipulative
"Toplum sğlığı açısından Asıl kendileri hasta olan olan bilim kurulu ve ülke idarecilerinin  biran önce karanti altına alınıp,toplumdan izole edilmesi ve insan sğlığı adına hertürlü maske,aşı uygulamaları ile tedavilerinin derhal başlatılması gerekmektedir #PcrDayatmasıDurdurulsun",manipulative
Breaking : BJP will start issuing Afgan visa instead of Pak visa going forward  https://t.co/gNMpCouedz,unusable
ülkesine tamı tamına 10 afgan alabilen estonya başbakanına hediyem @kajakallas  https://t.co/Wyqx9jhSRm,not manipulative
Estonya Başbakanı: '10 Afgan Mülteciyi Ülkemize Almaya Hazırız',not manipulative
5 yaşındaki #Afgan mülteci çoçuk Sheffield otelin camından düşerek hayatını kaybetti.,not manipulative
"Madem aşı coronadan korunmak için en iyi yöntem neden ölümler azalmadı, neden bulaşmalar azalmadı. #PcrDayatmasıDurdurulsun",not manipulative
Yoooo ben sana minnettar falan degilim o senin gibi gerici ve cahil cühelalarin sorunu #MinnettarızERDOĞAN,manipulative
"@gulbintosun @FOXhaber #nediyelim Bu Orman yangınlarından büyük dersler çıkararak, çok güçlü yangın söndürme uçak ve helikopter filoları mutlaka kurulmalıdır.",not manipulative
@Ask_Sehri__ @yenigull15 @hilaltasdelen5 @Uilliam676 @cumhur077 @reisci_001 @hedefimiz4107 @BeyazDilekcee @Zeynep_Sohni @42Kny_ @__ONUR__10 @Muhammed7325 @mir__bey__10 @mer50706096 @hedef2023_1 @k_1453_1071 @meryem24223808 @VLDNSVM33 @AYARSIZ_28 @SokaktakiBilge @cumaotur14 @yorgunn54 @TatarFerruh @Muhslihiddinyi1 @MSC21_ @Su55Uz @Nuro_81 @Ramazan34351 @vatanmillet0571 @yorukoglu_efele @BaykanSapduzen @LALE1511_55 @Olur2525 @PinaraydannP @Murato_1453 @42G_ko @gercekci87 @zab1453 @kayaUFK2 @Tug_2023_ @SercanTAYTAS @MELHHakanBatrk1 @ytastan38 @Mustafabaskan66 #MinnettarızERDOĞAN,unusable
‘Türkiye’de yaşamak istemiyorum’ diyen Afgan hakkındaki karar belli oldu  https://t.co/KGUMLswnvg #gazetesozcu @gazetesozcu aracılığıyla,not manipulative
