id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1425913260126134275,1425913260126134275,2021-08-12 23:13:08 Turkey Standard Time,2021-08-12,23:13:08,+0300,3391623526,orczen,zeno,,Bu ülkede akıl sağlığını gercektwn korumak zor. Hergün bir acı keder üzüntü. Neye üzüleceğimizi bilemez olduk. Bu dünya için ve gelecek günler için gercekten üzgünüm. #Kastamonusel #KastamonuAfetBoelgesiİlanEdilsin #izmir #Afganlarıİstemiyoruz #rizesel #mültecisorunu,tr,[],[],[],0,0,2,"['kastamonusel', 'kastamonuafetboelgesii̇lanedilsin', 'izmir', 'afganlarıi̇stemiyoruz', 'rizesel', 'mültecisorunu']",[],https://twitter.com/orczen/status/1425913260126134275,False,,0,,,,,,,,[],,,,
1425870554398068740,1425870554398068740,2021-08-12 20:23:26 Turkey Standard Time,2021-08-12,20:23:26,+0300,1393305996953542659,haberrizet,haberrize.com.tr,, https://t.co/B7zKgzWvyy  #rizeilgenelmeclisi  #rizegündem #rizehaber #TurutIbrahim  #rizesel,und,[],['http://www.haberrize.com.tr/haber.php?haberno=1902185'],[],0,0,0,"['rizeilgenelmeclisi', 'rizegündem', 'rizehaber', 'turutibrahim', 'rizesel']",[],https://twitter.com/HaberrizeT/status/1425870554398068740,False,,0,,,,,,,,[],,,,
1421150058590965762,1421150058590965762,2021-07-30 19:45:52 Turkey Standard Time,2021-07-30,19:45:52,+0300,2383702200,hknnr1,Hakan Nur,,Herhangi bir felakette güveneceğimiz hiç bir kurum kalmadı. Herkes kendi başının çaresine bakıyor....  #marmaris #memleketyaniyor #prayforturkey #manavgat #antalya #adana #mersin #rizesel #turunçlar  https://t.co/PvWl0IqxOi,tr,[],[],[],4,24,101,"['marmaris', 'memleketyaniyor', 'prayforturkey', 'manavgat', 'antalya', 'adana', 'mersin', 'rizesel', 'turunçlar']",[],https://twitter.com/hknnr1/status/1421150058590965762,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1421149431437668357/pu/img/XyCjz0vyPE78yLcL.jpg,,,,,,,[],,,,
1420734369572999173,1420734369572999173,2021-07-29 16:14:04 Turkey Standard Time,2021-07-29,16:14:04,+0300,829447938153803776,deryaates2017,Derya Ateş,,"#adanayanıyor #manavgatyanıyor #yangin #abddeprem #rizesel Cinayetler,istismar ahlaksızlık,dolandırıcılık,hırs daha niceleri...Çivisi çıkmış dünyanın insanlarn cezasını ne yazık ki doğa ve suçsuz canlılar çekiyor her yerde bi felaket bi musibet Allah akıl fikir ve merhamet versin",tr,[],[],[],0,0,1,"['adanayanıyor', 'manavgatyanıyor', 'yangin', 'abddeprem', 'rizesel']",[],https://twitter.com/DeryaAtes2017/status/1420734369572999173,False,,0,,,,,,,,[],,,,
1420357729512824836,1420338097708011520,2021-07-28 15:17:26 Turkey Standard Time,2021-07-28,15:17:26,+0300,3448598015,venuskurgu,Venüs 5941 MAĞDURU,,@Akif_Hamzacebi ESNAF KAN AĞLIYOR DEDİK..  AL KARDEŞIM TAVŞAN KANI ÇAY DEMLE DENDİ...  5941 CEKE HAPSE AF GEREK AF...  #RIZESEL  #CekeHapisCezasıKalksın   @Akparti @Ahmet_Davutoglu @dbdevletbahceli @melihaokur2 @ErolUlusoy @Akif_Hamzacebi @cenginyurt52 @meral_aksener @YildizFeti @yilmaztunc,tr,"[{'screen_name': 'akparti', 'name': 'ak parti', 'id': '1628824092'}, {'screen_name': 'ahmet_davutoglu', 'name': 'ahmet davutoğlu', 'id': '181567076'}, {'screen_name': 'dbdevletbahceli', 'name': 'devlet bahçeli', 'id': '214017108'}, {'screen_name': 'melihaokur2', 'name': 'meliha okur', 'id': '1176763831'}, {'screen_name': 'erolulusoy', 'name': 'avukat prof.dr. erol ulusoy', 'id': '330282256'}, {'screen_name': 'akif_hamzacebi', 'name': 'm. akif hamzaçebi', 'id': '707159762'}, {'screen_name': 'cenginyurt52', 'name': 'cemal enginyurt', 'id': '990621226002518023'}, {'screen_name': 'meral_aksener', 'name': 'meral akşener', 'id': '590346965'}, {'screen_name': 'yildizfeti', 'name': 'feti yıldız', 'id': '979992619362209792'}, {'screen_name': 'yilmaztunc', 'name': 'yılmaz tunç', 'id': '115216315'}]",[],[],0,5,2,"['rizesel', 'cekehapiscezasıkalksın']",[],https://twitter.com/venuskurgu/status/1420357729512824836,False,,0,,,,,,,,"[{'screen_name': 'Akif_Hamzacebi', 'name': 'M. Akif Hamzaçebi', 'id': '707159762'}]",,,,
1419341743875579904,1419341741338079235,2021-07-25 20:00:16 Turkey Standard Time,2021-07-25,20:00:16,+0300,60702349,bunyaminsurmeli,Havayı Koklayan Adam,,"Şu an dereler nehirler dolmuş durumda. Üzerine eklenen her yağış akışa geçiyor, taşkına dönüyor. Dolayısıyla tablo geçenki görüntüden daha kötü bile olabilir. Umarız olmasın, ama riske karşı tedbirli olmak lazım. Dikkat ⚠️  . #rizesel #artvinsel",tr,[],[],[],0,7,47,"['rizesel', 'artvinsel']",[],https://twitter.com/BunyaminSurmeli/status/1419341743875579904,False,,0,,,,,,,,[],,,,
1418947282024730629,1418947282024730629,2021-07-24 17:52:49 Turkey Standard Time,2021-07-24,17:52:49,+0300,1716038256,nilayhsnbs,nil,,"Önce bencilce hareket ediyoruz, sonra da doğal afet diyoruz.. afet değil, doğa doğalığını yapıyor, biz işine karışıyoruz.. kendi sonumuzu biz getireceğiz..#rizesel",tr,[],[],[],0,0,3,['rizesel'],[],https://twitter.com/nilayhsnbs/status/1418947282024730629,False,https://twitter.com/EkolojiR/status/1418881908889595908,0,,,,,,,,[],,,,
1418941830134181888,1418941830134181888,2021-07-24 17:31:09 Turkey Standard Time,2021-07-24,17:31:09,+0300,410024519,recepkenan,itvhaber,,İSKİ’den Selin Vurduğu Rize ve Artvin’e Yardım Eli   https://t.co/E23DwvEKam  #İSKİ #SelinVurduğuRizeveArtvineYardımEli #İSKİSelBölgesinde #İstanbulSuveKanalizasyon #RizeSel #ArtvinSel #Çayeli #Fındıklı #Arhavi,tr,[],['https://www.itvhaber.com/iskiden-selin-vurdugu-rize-ve-artvine-yardim-eli.html#.YPwjum3DVrE.twitter'],[],0,0,0,"['i̇ski̇', 'selinvurduğurizeveartvineyardımeli', 'i̇ski̇selbölgesinde', 'i̇stanbulsuvekanalizasyon', 'rizesel', 'artvinsel', 'çayeli', 'fındıklı', 'arhavi']",[],https://twitter.com/RecepKenan/status/1418941830134181888,False,,0,,,,,,,,[],,,,
1418919237649846279,1418919237649846279,2021-07-24 16:01:23 Turkey Standard Time,2021-07-24,16:01:23,+0300,1387827002388910082,88almila,Tomris Ülkü🇦🇿🇹🇷🇰🇬🇰🇿🇺🇿🇹🇲,,😅 #rizesel,und,[],[],[],0,0,3,['rizesel'],[],https://twitter.com/88Almila/status/1418919237649846279,False,https://twitter.com/nicknoltehaluk/status/1418572379362664452,0,,,,,,,,[],,,,
1418917366126333955,1418917366126333955,2021-07-24 15:53:56 Turkey Standard Time,2021-07-24,15:53:56,+0300,1114112876174893058,toprak42710886,ToprakBaba,,#Rize #rizesel #SEL #selfelaketi,und,[],[],[],0,0,0,"['rize', 'rizesel', 'sel', 'selfelaketi']",[],https://twitter.com/toprak42710886/status/1418917366126333955,False,https://twitter.com/gokhanozbek/status/1418887066260226053,0,,,,,,,,[],,,,
1418897728499814411,1418897728499814411,2021-07-24 14:35:54 Turkey Standard Time,2021-07-24,14:35:54,+0300,1212352088614686720,devaduzce,Deva Partisi Düzce 💧,,"Dere taşmamış, insanlar dereye taşmış..  Bu yapılara izin vermedikleri belli oldu.. #rizesel #BayramıZehirEttiniz #BitmeyenMisafirlikOLMAZ  https://t.co/gd7Af8am2k",tr,[],[],['https://pbs.twimg.com/media/E7Dv9nKWUAkpQFE.jpg'],0,0,0,"['rizesel', 'bayramızehirettiniz', 'bitmeyenmisafirlikolmaz']",[],https://twitter.com/Devaduzce/status/1418897728499814411,False,,1,https://pbs.twimg.com/media/E7Dv9nKWUAkpQFE.jpg,,,,,,,[],,,,
1418889663692132354,1418888459196973067,2021-07-24 14:03:52 Turkey Standard Time,2021-07-24,14:03:52,+0300,1322418186,hsnsylk,HASAN SAYLIK,,"@demirdenizchp @1923nb Bir de devlet sel olunca bu kaçak bina sahiplerine ödül dağıtır gibi ev veriyor, ceza yerine ödül alıyorlar. Böyle yönetim anlayışı olmaz, evi kaçak olana hiç bir şey verilmemeli. @murat_kurum #Rize #rizesel",tr,"[{'screen_name': 'murat_kurum', 'name': 'murat kurum', 'id': '1557959826'}]",[],[],0,0,0,"['rize', 'rizesel']",[],https://twitter.com/hsnsylk/status/1418889663692132354,False,,0,,,,,,,,"[{'screen_name': 'demirdenizchp', 'name': 'Deniz Demir', 'id': '3170782581'}, {'screen_name': '1923nb', 'name': 'ATA KIZI', 'id': '1707324073'}]",,,,
1418889506053316620,1418889506053316620,2021-07-24 14:03:14 Turkey Standard Time,2021-07-24,14:03:14,+0300,332541358,guldosa,gülderen yıldız,,#Rize #rizesel Lütfen önlem alınsın n!,tr,[],[],[],0,0,0,"['rize', 'rizesel']",[],https://twitter.com/guldosa/status/1418889506053316620,False,https://twitter.com/Afet_Tehlikesi/status/1418871631313833991,0,,,,,,,,[],,,,
1418881537777545226,1418881537777545226,2021-07-24 13:31:34 Turkey Standard Time,2021-07-24,13:31:34,+0300,970660959491641344,birgaripyolcugr,Bir Garip Yolcu,,Ülkede bir tane akıllı adam yok  #rizesel,tr,[],[],[],0,0,1,['rizesel'],[],https://twitter.com/birgaripyolcugr/status/1418881537777545226,False,https://twitter.com/YolTV/status/1418880884296634371,0,,,,,,,,[],,,,
