id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1429072772593033223,1429067400817913860,2021-08-21 16:27:54 Turkey Standard Time,2021-08-21,16:27:54,+0300,2706807958,beerlonggin,E,,@06ibrahimbal @CihatAlkis @bpthaber Ulan yok o müslüman yok o Hristiyan ne fark eder gerizekalı adam gayette şuan olanları çok iyi şekilde göstermiş nereye gitsek aynı manzaralar var. Adamlar müslümansa banane lan benim yaşam tarzıma tersler istemiyoruz bu kadar basit dinsiz mi oldum bu yüzden,tr,[],[],[],0,0,0,[],[],https://twitter.com/beerlonggin/status/1429072772593033223,False,,0,,,,,,,,"[{'screen_name': '06ibrahimbal', 'name': 'ibrahim bal', 'id': '701790671745785856'}, {'screen_name': 'CihatAlkis', 'name': 'Cihat', 'id': '190864016'}, {'screen_name': 'bpthaber', 'name': 'BPT', 'id': '2955315479'}]",,,,
1429072452643131397,1429066305341120519,2021-08-21 16:26:38 Turkey Standard Time,2021-08-21,16:26:38,+0300,1100360326179098624,mehmetgedik1967,Dinsiz Zibidi,,@burceser Ama yalan mı,tr,[],[],[],1,0,0,[],[],https://twitter.com/MehmetGedik1967/status/1429072452643131397,False,,0,,,,,,,,"[{'screen_name': 'burceser', 'name': 'BuRçiNeSer ®', 'id': '2539929213'}]",,,,
1429071738986450944,1429068163111661569,2021-08-21 16:23:48 Turkey Standard Time,2021-08-21,16:23:48,+0300,1420848434299482117,feyruzz1071,Akın,,@ibnicerir İpin dinsiz Allahsız tayfası cehapa rahmet okutur,tr,[],[],[],0,0,0,[],[],https://twitter.com/feyruzz1071/status/1429071738986450944,False,,0,,,,,,,,"[{'screen_name': 'ibnicerir', 'name': 'ibrahim', 'id': '3180384489'}]",,,,
1429070268727758854,1429005298832904197,2021-08-21 16:17:57 Turkey Standard Time,2021-08-21,16:17:57,+0300,349040460,aserrakilic,TC AYŞEM SERRA KILIÇ,,"@TC_kemalbildis_ Çok şükür Allah bana akıl vermiş, Dinsiz,Bayraksız ve Vatansız olmamamızı sağlayan mükemmel bir ATA vermiş kemiklerini sızlattırmadım,sızlattırmamda.",tr,[],[],[],0,0,0,[],[],https://twitter.com/aserrakilic/status/1429070268727758854,False,,0,,,,,,,,"[{'screen_name': 'TC_kemalbildis_', 'name': 'Kemal Bildiş', 'id': '757956234423234560'}]",,,,
1429070096039825408,1428792611867869197,2021-08-21 16:17:16 Turkey Standard Time,2021-08-21,16:17:16,+0300,379144524,muzarslan,Muzaffer Arslan,,"@ef70440313 Ayrıca , şunu da gözden kaçırmadan değerini bilmek lazım Kapalı ve kapalı olmayan kadınların kendi aralarında tam bir dostluk oluşmuş durumda.Bu durum tam bir demokrasidir.Yeter  ki,siyasetçiler kapalı olanı ""dinli"", olmayanı ""dinsiz"" olarak yargılamasın.",tr,[],[],[],1,0,1,[],[],https://twitter.com/muzarslan/status/1429070096039825408,False,,0,,,,,,,,"[{'screen_name': 'ef70440313', 'name': 'fatma', 'id': '1071491254079369216'}]",,,,
1429069596640915456,1428752522898984969,2021-08-21 16:15:17 Turkey Standard Time,2021-08-21,16:15:17,+0300,1117283893965742080,osmanuy76256396,osman uysal,,@erkesolu12 @m_cemilkilic Allah bilir. Bir kimse kendisi imansız olduğunu söylemedi ise kimse onu dinsiz ilan  https://t.co/F98jwc3nxKğlıklı kalın. Allah a emanet olun,tr,[],['http://edemez.Sa'],[],0,0,0,[],[],https://twitter.com/osmanuy76256396/status/1429069596640915456,False,,0,,,,,,,,"[{'screen_name': 'erkesolu12', 'name': 'Çerkesoğlu', 'id': '1198943857360158721'}, {'screen_name': 'm_cemilkilic', 'name': 'Cemil KILIÇ', 'id': '3345300562'}]",,,,
1429068795335872513,1429068795335872513,2021-08-21 16:12:06 Turkey Standard Time,2021-08-21,16:12:06,+0300,4027020455,maraayaksizz,Mᴀʀᴀ ᴀʏᴀᴋsıᴢ,,"Fatih Mehmet maçoğlu; Varsın bize dinsiz desinler, cennet Kabe’ye gitmek ile olmuyor.. Hayat dersi niteliğinde 👏  https://t.co/FmBboqkdOK",tr,[],[],['https://pbs.twimg.com/media/E9USfjPXoAYIjx3.jpg'],0,0,0,[],[],https://twitter.com/maraayaksizz/status/1429068795335872513,False,,1,https://pbs.twimg.com/media/E9USfjPXoAYIjx3.jpg,,,,,,,[],,,,
1429068627408572421,1428970731971436546,2021-08-21 16:11:26 Turkey Standard Time,2021-08-21,16:11:26,+0300,1191673177920987136,hayr_olsun,Allah.var.gam.yok.,,"@AykanTrpn @primatsavar @Mahirin_BIYIGI Din tüm insanlık için iner. Ortadoğuya Peygamber gelmişte Avrupa Dinden bağımsız mı? Onların yükümlülüğü yok mu? 100 yıl önce İslam dünyası talan edildi ne bekliyordun bugün. Laiklik dinsiz olmak mı? Laiklik adı altında kadınlara okul yoktu, iş yoktu. Evde otursunlar dı.",tr,[],[],[],0,0,0,[],[],https://twitter.com/Hayr_olsun/status/1429068627408572421,False,,0,,,,,,,,"[{'screen_name': 'AykanTrpn', 'name': 'AYKAN TIRPAN', 'id': '1154303628'}, {'screen_name': 'primatsavar', 'name': 'Kes Sesini Primat', 'id': '59906619'}, {'screen_name': 'Mahirin_BIYIGI', 'name': 'PROMETHEUS', 'id': '2444227434'}]",,,,
1429068327310200835,1428737914637365252,2021-08-21 16:10:14 Turkey Standard Time,2021-08-21,16:10:14,+0300,790033490,ayakdemir,ahmet akdemir,,"@53_pepecura @buseesn_ @OguzhanUgur Arkadaşım ona bişey mi dedik, sarık takmasına laf etmiş ve birilerini yine dinsiz ilan etmeye çalışan çok dindar arkadaşa diyorum lafımı",tr,[],[],[],1,0,0,[],[],https://twitter.com/ayakdemir/status/1429068327310200835,False,,0,,,,,,,,"[{'screen_name': '53_pepecura', 'name': '🇹🇷14(53)pepeçura🇹🇷🇹🇷', 'id': '1129273096341458944'}, {'screen_name': 'buseesn_', 'name': 'Buse Esen', 'id': '818056072778891270'}, {'screen_name': 'OguzhanUgur', 'name': 'Oğuzhan Uğur', 'id': '104306851'}]",,,,
1429067952041648131,1429066190094225414,2021-08-21 16:08:45 Turkey Standard Time,2021-08-21,16:08:45,+0300,1385568248406626306,psikoseptik__,Şüpheci,,"@Dinsiz_biri Var misin yok musun Allam yarismasina hoşgeldiniz ,",tr,[],[],[],0,0,1,[],[],https://twitter.com/psikoseptik__/status/1429067952041648131,False,,0,,,,,,,,"[{'screen_name': 'Dinsiz_biri', 'name': 'DinsiZ🛑', 'id': '1205593829950345216'}]",,,,
