id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1428690613629820929,1428690613629820929,2021-08-20 15:09:20 Turkey Standard Time,2021-08-20,15:09:20,+0300,1295908973862965248,ali5281a,Ali Özdemir,,Bakın bu sınır namustur dilinize dolamayın söyleyip kendinizi utandırmayın çünkü sınırdan geçen geçiyor mu ... Evet geçiyor.. Bu durumda namus ne oldu... O yüzden söyleyemeyin.  Sınır namustur diye... #SınırlarımızıZorlamayın,tr,[],[],[],0,0,0,['sınırlarımızızorlamayın'],[],https://twitter.com/Ali5281A/status/1428690613629820929,False,,0,,,,,,,,[],,,,
1428690503172771840,1428690503172771840,2021-08-20 15:08:54 Turkey Standard Time,2021-08-20,15:08:54,+0300,914917523916775425,yildirimbircan,Bircanyildirimofficial,,"Sayın Süleyman Soylu Halk Tv binasının önünde sürekli sivil polis bulunuyorken,nasıl oluyorda İyi Partili Buğra Kavuncu saldırıya uğruyor,?  Polisleriniz neredeydi?  @SBugraKavuncu @suleymansoylu #SınırlarımızıZorlamayın",tr,"[{'screen_name': 'sbugrakavuncu', 'name': 'buğra kavuncu', 'id': '834833095'}, {'screen_name': 'suleymansoylu', 'name': 'süleyman soylu', 'id': '18971997'}]",[],[],0,0,1,['sınırlarımızızorlamayın'],[],https://twitter.com/YildirimBircan/status/1428690503172771840,False,,0,,,,,,,,[],,,,
1428690417571225602,1428628014708019201,2021-08-20 15:08:33 Turkey Standard Time,2021-08-20,15:08:33,+0300,1585481395,ylcn_1881,Yalçın,,@Mesouthh #SınırlarımızıZorlamayın,und,[],[],[],0,0,0,['sınırlarımızızorlamayın'],[],https://twitter.com/ylcn_1881/status/1428690417571225602,False,,0,,,,,,,,"[{'screen_name': 'Mesouthh', 'name': 'Mesouthh ރ', 'id': '1386057795758329858'}]",,,,
1428690287040290817,1428690287040290817,2021-08-20 15:08:02 Turkey Standard Time,2021-08-20,15:08:02,+0300,1340397243799580675,nursy1970,Nurssy#ATE 🇩🇪🇹🇷,,#ATATÜRK #SınırlarımızıZorlamayın  Parcalarim sizi!!😒😒  https://t.co/TR8vH7rI0G,tr,[],[],"['https://pbs.twimg.com/media/E9O6PXTXMAQv0pI.jpg', 'https://pbs.twimg.com/media/E9O6PXWWYAYOuL0.jpg']",0,0,1,"['atatürk', 'sınırlarımızızorlamayın']",[],https://twitter.com/Nursy1970/status/1428690287040290817,False,,1,https://pbs.twimg.com/media/E9O6PXTXMAQv0pI.jpg,,,,,,,[],,,,
1428690248712740868,1428635692117135365,2021-08-20 15:07:53 Turkey Standard Time,2021-08-20,15:07:53,+0300,1585481395,ylcn_1881,Yalçın,,@thealkimunsal #SınırlarımızıZorlamayın,und,[],[],[],0,0,0,['sınırlarımızızorlamayın'],[],https://twitter.com/ylcn_1881/status/1428690248712740868,False,,0,,,,,,,,"[{'screen_name': 'thealkimunsal', 'name': 'Ünsal ALKIM', 'id': '3092684669'}]",,,,
1428690229993558020,1428690229993558020,2021-08-20 15:07:49 Turkey Standard Time,2021-08-20,15:07:49,+0300,232848775,ridvan45uysal,Rıdvan Uysal,,Kuveyt (ARAP) Kişi Başı Milli Gelir: 72 bin $ Arap Mülteci: 0  Suudi Arabistan (ARAP) KBM Gelir: 55 bin $ Mülteci: 0  Katar (ARAP) KBM Gelir: 130 bin$ Mülteci: 0  TÜRKİYE (Arap Değil) KBM Gelir: 8 bin $ Arap Mülteci: 11 milyon   #SınırlarımızıZorlamayın #MülteciKampıOlmayacağız,tr,[],[],[],0,0,0,"['sınırlarımızızorlamayın', 'mültecikampıolmayacağız']",[],https://twitter.com/Ridvan45Uysal/status/1428690229993558020,False,,0,,,,,,,,[],,,,
1428690141640548366,1428690141640548366,2021-08-20 15:07:28 Turkey Standard Time,2021-08-20,15:07:28,+0300,612706404,mesutzaltun,mesutzltn,,Virüs gibi çoğalıyorlar amk afganlilari #SınırlarımızıZorlamayın,tr,[],[],[],0,0,0,['sınırlarımızızorlamayın'],[],https://twitter.com/mesutzaltun/status/1428690141640548366,False,,0,,,,,,,,[],,,,
1428690031707840515,1428690031707840515,2021-08-20 15:07:01 Turkey Standard Time,2021-08-20,15:07:01,+0300,435364594,fsnuyds,Fisun UYDAŞ,,Kaş da Savaş gemisi  Hayırdır inşallah  Arkadaşlar bu savaş gemisi yangınlarla mi ilgili yoksa başka bir durum mu var Yalnızım korkuyorum .(( Lütfen bilgisi olan paylaşabilir mi Teşekkürler  #SeçimeVARmısınız #SınırlarımızıZorlamayın  #ProtestoEdiyorum  #KANDIRILDIK #kaş  https://t.co/EVO9vPY14r,tr,[],[],['https://pbs.twimg.com/media/E9O5sX9WYAIMWMU.jpg'],0,0,0,"['seçimevarmısınız', 'sınırlarımızızorlamayın', 'protestoediyorum', 'kandirildik', 'kaş']",[],https://twitter.com/FSNUYDS/status/1428690031707840515,False,,1,https://pbs.twimg.com/media/E9O5sX9WYAIMWMU.jpg,,,,,,,[],,,,
1428689943422021633,1428687673053650950,2021-08-20 15:06:40 Turkey Standard Time,2021-08-20,15:06:40,+0300,2300292376,adavulu,Ö Z G Ü R,,@clairdelunexq_l İncil'i dinletseydi Papa olurdu 😂🤣 #SınırlarımızıZorlamayın,tr,[],[],[],1,1,1,['sınırlarımızızorlamayın'],[],https://twitter.com/ADavulu/status/1428689943422021633,False,,0,,,,,,,,"[{'screen_name': 'clairdelunexq_l', 'name': 'LAFyon', 'id': '2405268051'}]",,,,
1428689922425249804,1428689922425249804,2021-08-20 15:06:35 Turkey Standard Time,2021-08-20,15:06:35,+0300,1417058495720042496,okan41300978,Okan,,Seçime kadar bekleyin provokatörler #SiziSandığaİTTİRECEĞİZ #SınırlarımızıZorlamayın #siyasipartimyok @SBugraKavuncu çok geçmiş olsun #iyiparti yalnız değil @meral_aksener sen Devlet anasın #SecimeVarmısınız öyle yumruk atmakla olmuyo ✋mi yaman bey mi yaman sandıkta göreceksiniz,tr,"[{'screen_name': 'sbugrakavuncu', 'name': 'buğra kavuncu', 'id': '834833095'}, {'screen_name': 'meral_aksener', 'name': 'meral akşener', 'id': '590346965'}]",[],[],0,0,0,"['sizisandığai̇tti̇receği̇z', 'sınırlarımızızorlamayın', 'siyasipartimyok', 'iyiparti', 'secimevarmısınız']",[],https://twitter.com/Okan41300978/status/1428689922425249804,False,,0,,,,,,,,[],,,,
