id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1428689642006667266,1428689642006667266,2021-08-20 15:05:29 Turkey Standard Time,2021-08-20,15:05:29,+0300,1406534895963414528,kuvars65225674,EN ORGANİK HUNİLİ,,hastaneye geldim ne test ne aşı soran olmadı 😁 çok şükür #PcrDayatmasıDurdurulsun,tr,[],[],[],0,0,0,['pcrdayatmasıdurdurulsun'],[],https://twitter.com/Kuvars65225674/status/1428689642006667266,False,,0,,,,,,,,[],,,,
1428689638777053189,1428689638777053189,2021-08-20 15:05:28 Turkey Standard Time,2021-08-20,15:05:28,+0300,1400091716418519048,zbeyde91057121,Zübeyde,,#PcrDayatmasıDurdurulsun,und,[],[],[],0,0,0,['pcrdayatmasıdurdurulsun'],[],https://twitter.com/Zbeyde91057121/status/1428689638777053189,False,,0,,,,,,,,[],,,,
1428689584792260611,1428689584792260611,2021-08-20 15:05:15 Turkey Standard Time,2021-08-20,15:05:15,+0300,1396049539958722570,aslikizcek,Asli,,#PcrDayatmasıDurdurulsun test virusu onlemeyecegine gore vefat hava yollarini tercih etmeyi dusunuyorum zira 80 bin kişilik okulda tek hava yolu o olur!,tr,[],[],[],0,0,0,['pcrdayatmasıdurdurulsun'],[],https://twitter.com/Aslikizcek/status/1428689584792260611,False,,0,,,,,,,,[],,,,
1428689576126787590,1428689576126787590,2021-08-20 15:05:13 Turkey Standard Time,2021-08-20,15:05:13,+0300,3335499605,maktublar,Betty,,@RTErdogan pcr testini istemiyoruz #PCRZulmuenueKabulEtmiyoruz  #PcrDayatmasıDurdurulsun,tr,[],[],[],0,0,1,"['pcrzulmuenuekabuletmiyoruz', 'pcrdayatmasıdurdurulsun']",[],https://twitter.com/Maktublar/status/1428689576126787590,False,https://twitter.com/msmdgsn/status/1428660127217881094,0,,,,,,,,[],,,,
1428689569390661635,1428689569390661635,2021-08-20 15:05:11 Turkey Standard Time,2021-08-20,15:05:11,+0300,1355415322661154816,zehraakbulutce1,ZehraAkbulutCengiz,,"Bu kalp krizi işine coronanin yan etkisi dediler bir ara ağiz ucuyla. Sakin inanmayın. Covit iki yıldır var. Aşı bir yildır. Ve son iki yada kalp krizi olumleri arttı. Üstelik hep aşilılar! Yine de isteyen olsun da, bu dayatma niye? #PcrDayatmasıDurdurulsun",tr,[],[],[],0,0,0,['pcrdayatmasıdurdurulsun'],[],https://twitter.com/ZehraAkbulutCe1/status/1428689569390661635,False,https://twitter.com/Efe29082951/status/1428686319627259905,0,,,,,,,,[],,,,
1428689566203097089,1428689566203097089,2021-08-20 15:05:11 Turkey Standard Time,2021-08-20,15:05:11,+0300,2733572206,1soyle_2dusun,İki Düşün Bir Söyle,,#PcrDayatmasıDurdurulsun,und,[],[],[],0,0,0,['pcrdayatmasıdurdurulsun'],[],https://twitter.com/1soyle_2dusun/status/1428689566203097089,False,https://twitter.com/ugurbasyigit/status/1428679521226608646,0,,,,,,,,[],,,,
1428689556426170374,1428689556426170374,2021-08-20 15:05:08 Turkey Standard Time,2021-08-20,15:05:08,+0300,2883074434,nakurferide,Feride Nakur,,#asıdapcrdaolmuyoruz #KANDIRILDIK #PcrDayatmasıDurdurulsun #PCRZulmünüKabulEtmiyoruz İnsan suretindeki  şeytan!!,tr,[],[],[],0,0,0,"['asıdapcrdaolmuyoruz', 'kandirildik', 'pcrdayatmasıdurdurulsun', 'pcrzulmünükabuletmiyoruz']",[],https://twitter.com/NakurFeride/status/1428689556426170374,False,https://twitter.com/CemilCan5834/status/1428440982060687370,0,,,,,,,,[],,,,
1428689550059114498,1428689550059114498,2021-08-20 15:05:07 Turkey Standard Time,2021-08-20,15:05:07,+0300,368949405,fatihates52,FATİH🇹🇷🇦🇿🇰🇬🇹🇲🇰🇿🇭🇺🇺🇿🇧🇦,,#PcrDayatmasıDurdurulsun #asıdapcrdaolmuyoruz tweet bu kadar  https://t.co/ghYde9JR4Z,tr,[],[],['https://pbs.twimg.com/media/E9O5jHIXIAUsHCR.jpg'],0,0,0,"['pcrdayatmasıdurdurulsun', 'asıdapcrdaolmuyoruz']",[],https://twitter.com/FatihATES52/status/1428689550059114498,False,,1,https://pbs.twimg.com/media/E9O5jHIXIAUsHCR.jpg,,,,,,,[],,,,
1428689543004315655,1428621578930118657,2021-08-20 15:05:05 Turkey Standard Time,2021-08-20,15:05:05,+0300,1343302979986796544,elif49734903,Elif,,@hasanguclu01dkv Olması gereken. Helal #PcrDayatmasıDurdurulsun,tr,[],[],[],0,0,0,['pcrdayatmasıdurdurulsun'],[],https://twitter.com/Elif49734903/status/1428689543004315655,False,,0,,,,,,,,"[{'screen_name': 'hasanguclu01dkv', 'name': 'Hasan GÜÇLÜ 🇹🇷', 'id': '3376122407'}]",,,,
1428689521017769984,1428689521017769984,2021-08-20 15:05:00 Turkey Standard Time,2021-08-20,15:05:00,+0300,1422271619540602881,arsland09312206,Arslan,,"TUİK geçen yılın ölüm istatistiklerini açıklamaz, Sağlık Bakanlığı da aşılardan kaç kişinin öldüğünü açıklamaz ama bu güce güvenin deyip zorbalığa başvurur! Allah'tan başkasına güvenimiz kalmadı sayenizde...  #PcrDayatmasıDurdurulsun",tr,[],[],[],0,0,0,['pcrdayatmasıdurdurulsun'],[],https://twitter.com/ArslanD09312206/status/1428689521017769984,False,,0,,,,,,,,[],,,,
1428689519797325824,1428689519797325824,2021-08-20 15:04:59 Turkey Standard Time,2021-08-20,15:04:59,+0300,1390417495878684672,takkeliyobaz1,TakKeliYoBaZ,,Bu adaletsizliğe bi son verilmesi lazım hiç kimse insanın bedenine karışamaz böyle bi hakkı yoktur #PcrDayatmasıDurdurulsun,tr,[],[],[],0,0,0,['pcrdayatmasıdurdurulsun'],[],https://twitter.com/takkeliyobaz1/status/1428689519797325824,False,,0,,,,,,,,[],,,,
1428689517423247363,1428689517423247363,2021-08-20 15:04:59 Turkey Standard Time,2021-08-20,15:04:59,+0300,3513917717,a_hatunoglu,Ahmet Fatih Hatunoglu,,"Bilim, şüphe etmek ve araştırmak demektir.  Şüphe ise; Zekanın en sivri noktasıdır. Maarif Çalışmaları Sendikası'nın başlatacağı eylem inşallah bir uyanışa vesile olur.  #PcrDayatmasıDurdurulsun #ProtestoEdiyorum #SınırlarımızıZorlamayın  https://t.co/6ZYKrzePhn",tr,[],[],['https://pbs.twimg.com/media/E9O5i00WUAUHZ64.jpg'],0,1,1,"['pcrdayatmasıdurdurulsun', 'protestoediyorum', 'sınırlarımızızorlamayın']",[],https://twitter.com/a_hatunoglu/status/1428689517423247363,False,,1,https://pbs.twimg.com/media/E9O5i00WUAUHZ64.jpg,,,,,,,[],,,,
1428689498939006979,1428689498939006979,2021-08-20 15:04:54 Turkey Standard Time,2021-08-20,15:04:54,+0300,155135373,velicanim,Veli ÇINAR,,"A$I olmamak da,  test yaptırmamak da, vatandaşın anayasal hakkıdır. Kurumlar, anayasaya aykırı kurallar koyamaz. #PcrDayatmasıDurdurulsun",tr,[],[],[],0,1,0,['pcrdayatmasıdurdurulsun'],[],https://twitter.com/velicanim/status/1428689498939006979,False,,0,,,,,,,,[],,,,
1428689496967684097,1428689496967684097,2021-08-20 15:04:54 Turkey Standard Time,2021-08-20,15:04:54,+0300,949833462,zeneesra,zenesra ♒,,#PcrDayatmasıDurdurulsun,und,[],[],[],0,0,0,['pcrdayatmasıdurdurulsun'],[],https://twitter.com/zeneesra/status/1428689496967684097,False,https://twitter.com/aysel_karakuzu/status/1428629040479494144,0,,,,,,,,[],,,,
1428689493553463296,1428689493553463296,2021-08-20 15:04:53 Turkey Standard Time,2021-08-20,15:04:53,+0300,324321408,nrglbtnr,장미,,#PcrDayatmasıDurdurulsun,und,[],[],[],0,0,0,['pcrdayatmasıdurdurulsun'],[],https://twitter.com/nrglbtnr/status/1428689493553463296,False,https://twitter.com/HaticeS01565373/status/1428689156247543812,0,,,,,,,,[],,,,
1428689490709815300,1428689490709815300,2021-08-20 15:04:53 Turkey Standard Time,2021-08-20,15:04:53,+0300,1180187798491553792,mustafadenize,Mustafa Deniz,,"#AşıKarşıtıDeğilimAma  PCR Testi, tanı aracı değildir.   Kafa karışıklığı yaratan deneysel uygulamaları sorgulamak gerçek bilimsel yaklaşım olmalıdır.  #PcrDayatmasıDurdurulsun #CocuklarimizaAsiyaHayir #DeneyselGenTerapisi",tr,[],[],[],0,0,0,"['aşıkarşıtıdeğilimama', 'pcrdayatmasıdurdurulsun', 'cocuklarimizaasiyahayir', 'deneyselgenterapisi']",[],https://twitter.com/MustafaDenizE/status/1428689490709815300,False,https://twitter.com/rwmalonemd/status/1428390477104128002,0,,,,,,,,[],,,,
1428689489887694852,1428689489887694852,2021-08-20 15:04:52 Turkey Standard Time,2021-08-20,15:04:52,+0300,3195942419,kuzeyeri,Kuzey,,#PcrDayatmasıDurdurulsun,und,[],[],[],0,0,0,['pcrdayatmasıdurdurulsun'],[],https://twitter.com/kuzeyeri/status/1428689489887694852,False,,0,,,,,,,,[],,,,
1428689487081652228,1428689487081652228,2021-08-20 15:04:52 Turkey Standard Time,2021-08-20,15:04:52,+0300,1427368363194474501,arifeoztrk16,Arife Öztürk,,#PcrDayatmasıDurdurulsun  Keske aşilar gercekten care olsa keske asilarin yan etkileri bilinebilse ve keske asilara uretildikleri firma bari garanti verebilse o zaman bu dayatmalara gerek kalmaz zaten koşa koşa aşimizi olurduk.,tr,[],[],[],0,0,0,['pcrdayatmasıdurdurulsun'],[],https://twitter.com/arifeoztrk16/status/1428689487081652228,False,,0,,,,,,,,[],,,,
1428689473882279937,1428689473882279937,2021-08-20 15:04:48 Turkey Standard Time,2021-08-20,15:04:48,+0300,1419744024911654913,frat88755881,Fırat,,"Pişman olmayın pcr testleri ve aşılar  küresel  çetenin büyük bir  aldatmacasıdır. Bill gates""in finanse ettiği dsö ye ve  aşıyı öven doktorlara  kesinlikle  itibar etmeyin aslında aşıya kesinlikle gerek yok ama  illa aşı olacağım diyenler mrna  #PcrDayatmasıDurdurulsun",tr,[],[],[],0,0,0,['pcrdayatmasıdurdurulsun'],[],https://twitter.com/Frat88755881/status/1428689473882279937,False,,0,,,,,,,,[],,,,
1428689459172806659,1428689459172806659,2021-08-20 15:04:45 Turkey Standard Time,2021-08-20,15:04:45,+0300,1311035758703247361,turktaburu,𝓑𝓲𝓻 𝓣𝓾̈𝓻𝓴 🇹🇷,,"Kimse sizin çocuğunuzun eğitim hakkını elinden alamaz, inadına gönderin kimseyi dinlemeyin, dayatmaya boyun eğmeyin mecbur değilisiniz, köle hiç değilsiniz.. #PcrDayatmasıDurdurulsun",tr,[],[],[],0,0,2,['pcrdayatmasıdurdurulsun'],[],https://twitter.com/turktaburu/status/1428689459172806659,False,,0,,,,,,,,[],,,,
