id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1428686210906693632,1428686210906693632,2021-08-20 14:51:51 Turkey Standard Time,2021-08-20,14:51:51,+0300,1218158227910799362,omercelik1970,Ömer Çelik,,Gojiberi bitkim meyvelerini vermeye başladı. #YesilVatan  https://t.co/dsHq9yjNP5,tr,[],[],['https://pbs.twimg.com/media/E9O2hnOWEAAc-q0.jpg'],1,0,3,['yesilvatan'],[],https://twitter.com/omercelik1970/status/1428686210906693632,False,,1,https://pbs.twimg.com/media/E9O2hnOWEAAc-q0.jpg,,,,,,,[],,,,
1428684568446570506,1428684568446570506,2021-08-20 14:45:19 Turkey Standard Time,2021-08-20,14:45:19,+0300,3092313813,kutahyaobm,Kütahya Orman Bölge Müdürlüğü,,Yaptığımız çalışmaların vatandaşlara ulaşmasını sağlayan basın mensuplarımıza sonsuz teşekkür ile.. #kütahya #haber #basın #gündem  #YeşilVatan  #OrmanCandır #BasındaKütahyaOBM #YeniKütahya #KütahyaEkspres #DumlupınarGazetesi #KütahyaPostası #KütahyaVizyon #GazeteKırküç  https://t.co/GHB1ZmI7rq,tr,[],[],['https://pbs.twimg.com/media/E9O1BfCWYAACrEs.jpg'],0,1,4,"['kütahya', 'haber', 'basın', 'gündem', 'yeşilvatan', 'ormancandır', 'basındakütahyaobm', 'yenikütahya', 'kütahyaekspres', 'dumlupınargazetesi', 'kütahyapostası', 'kütahyavizyon', 'gazetekırküç']",[],https://twitter.com/kutahyaobm/status/1428684568446570506,False,,1,https://pbs.twimg.com/media/E9O1BfCWYAACrEs.jpg,,,,,,,[],,,,
1428653820398219268,1428653820398219268,2021-08-20 12:43:08 Turkey Standard Time,2021-08-20,12:43:08,+0300,197172711,ankara_masasi,Ankara'dan,,#Keçiören’de devasa bir park hizmete açıldı #Ankara #YesilVatan @keciorenbeltr  https://t.co/64jlg67zaa,tr,"[{'screen_name': 'keciorenbeltr', 'name': 'keçi̇ören beledi̇yesi̇', 'id': '313677526'}]",['https://www.ankaramasasi.com/haber/964048/keciorende-devasa-bir-park-hizmete-acildi'],[],0,0,0,"['keçiören', 'ankara', 'yesilvatan']",[],https://twitter.com/Ankara_Masasi/status/1428653820398219268,False,,0,,,,,,,,[],,,,
1428646987172286464,1428646987172286464,2021-08-20 12:15:59 Turkey Standard Time,2021-08-20,12:15:59,+0300,1423932527903973379,yesilvatanpl,Yeşil Vatan Platformu,,"23.08.2021 Pazartesi günü saat: 21:00'da; TSSD Bşk Yard. Sn.  @ZelihaSunal ve Sn. Yasemen Bilgili ile ""Orman Hayattır"" Instagram canlı yayını yapılacaktır.  #BirFidanTümVatan #birdahaasla #YesilVatan   @IAUKampus @SigaraylaSavas   @drmaydin  https://t.co/WyCcnQhpMg",tr,"[{'screen_name': 'zelihasunal', 'name': 'zeliha sunal', 'id': '36653381'}, {'screen_name': 'iaukampus', 'name': 'i̇stanbul aydın üniversitesi', 'id': '98204441'}, {'screen_name': 'sigaraylasavas', 'name': 'türkiye sigarayla savaş derneği / tssd', 'id': '417708397'}, {'screen_name': 'drmaydin', 'name': 'doç. dr. mustafa aydin', 'id': '302809412'}]",[],['https://pbs.twimg.com/media/E9OSszpWYAcX1jj.jpg'],0,3,6,"['birfidantümvatan', 'birdahaasla', 'yesilvatan']",[],https://twitter.com/yesilvatanpl/status/1428646987172286464,False,,1,https://pbs.twimg.com/media/E9OSszpWYAcX1jj.jpg,,,,,,,[],,,,
1428646003234807811,1428646003234807811,2021-08-20 12:12:04 Turkey Standard Time,2021-08-20,12:12:04,+0300,417708397,sigaraylasavas,Türkiye Sigarayla Savaş Derneği / TSSD,,"23.08.2021 Pazartesi günü saat: 21:00'da; TSSD Bşk Yard. Sn. @ZelihaSunal ve Sn. Yasemen Bilgili ile ""Orman Hayattır"" Instagram canlı yayını yapılacaktır.  #BirFidanTümVatan #birdahaasla #YesilVatan   @yesilvatanpl  @drmaydin  https://t.co/1UTj5AdNjE  https://t.co/U7qdlKax3K",tr,"[{'screen_name': 'zelihasunal', 'name': 'zeliha sunal', 'id': '36653381'}, {'screen_name': 'yesilvatanpl', 'name': 'yeşil vatan platformu', 'id': '1423932527903973379'}, {'screen_name': 'drmaydin', 'name': 'doç. dr. mustafa aydin', 'id': '302809412'}]",['https://twitter.com/SigaraylaSavas/status/1428645795323076611/photo/1'],['https://pbs.twimg.com/media/E9OR9-yWUAEqtJZ.jpg'],0,1,4,"['birfidantümvatan', 'birdahaasla', 'yesilvatan']",[],https://twitter.com/SigaraylaSavas/status/1428646003234807811,False,,1,https://pbs.twimg.com/media/E9OR9-yWUAEqtJZ.jpg,,,,,,,[],,,,
1428629246977716226,1428629246977716226,2021-08-20 11:05:29 Turkey Standard Time,2021-08-20,11:05:29,+0300,1423932527903973379,yesilvatanpl,Yeşil Vatan Platformu,,20.08.2021 Cuma günü saat: 21:00'da; TSSD Bşk Yard. Sn. @ZelihaSunal ve Sn.Serhat Yılmaz ile Afetlere Karşı Dirençli Toplum hakkında Instagram canlı yayını yapılacaktır.  #BirFidanTümVatan #birdahaasla #YeşilVatan @IAUKampus  @SigaraylaSavas  https://t.co/1McyjmO9us,tr,"[{'screen_name': 'zelihasunal', 'name': 'zeliha sunal', 'id': '36653381'}, {'screen_name': 'iaukampus', 'name': 'i̇stanbul aydın üniversitesi', 'id': '98204441'}, {'screen_name': 'sigaraylasavas', 'name': 'türkiye sigarayla savaş derneği / tssd', 'id': '417708397'}]",[],['https://pbs.twimg.com/media/E9OCp82XEAEgdhE.jpg'],0,5,9,"['birfidantümvatan', 'birdahaasla', 'yeşilvatan']",[],https://twitter.com/yesilvatanpl/status/1428629246977716226,False,,1,https://pbs.twimg.com/media/E9OCp82XEAEgdhE.jpg,,,,,,,[],,,,
1428623123264458755,1428623123264458755,2021-08-20 10:41:09 Turkey Standard Time,2021-08-20,10:41:09,+0300,601107798,settaraslan,Settar Aslan,,"#YeşilVatan'ı görevden değil gönülden seviyoruz.  Yangınla korkusuzca mücadele eden #OrmanınKahramanları, aynı gayretle zarar gören tüm alanları yeniden yeşillendirecekler.  Orman emekçilerimiz 12 Ay iş garantisi istiyorlar.  @bekirpakdemirli  @BekirKARACABEY_  https://t.co/0abC4vjtGl",tr,"[{'screen_name': 'bekirpakdemirli', 'name': 'dr. bekir pakdemirli', 'id': '233614834'}, {'screen_name': 'bekirkaracabey_', 'name': 'bekir karacabey', 'id': '876365195010088960'}]",[],[],1,45,72,"['yeşilvatan', 'ormanınkahramanları']",[],https://twitter.com/settaraslan/status/1428623123264458755,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1428623046764548097/pu/img/SOffkEG_7YdAGch5.jpg,,,,,,,[],,,,
1428619848133877761,1428619848133877761,2021-08-20 10:28:08 Turkey Standard Time,2021-08-20,10:28:08,+0300,3083968755,sanliurfaobm,Şanlıurfa Orman Bölge Müdürlüğü,,#YeşilVatan'ı görevden değil gönülden seviyoruz.,tr,[],[],[],0,0,5,['yeşilvatan'],[],https://twitter.com/sanliurfaobm/status/1428619848133877761,False,https://twitter.com/ogmgovtr/status/1428612646685773827,0,,,,,,,,[],,,,
1428612646685773827,1428612646685773827,2021-08-20 09:59:31 Turkey Standard Time,2021-08-20,09:59:31,+0300,2155347530,ogmgovtr,Orman Genel Müdürlüğü,,"#YeşilVatan'ı görevden değil gönülden seviyoruz.  Yangınla korkusuzca mücadele eden #OrmanınKahramanları, aynı gayretle zarar gören tüm alanları yeniden yeşillendirecekler.  https://t.co/5qOq7hAKmg",tr,[],[],[],2,135,439,"['yeşilvatan', 'ormanınkahramanları']",[],https://twitter.com/OGMgovtr/status/1428612646685773827,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1428611992378544128/pu/img/1nrCglttSCK0jWKV.jpg,,,,,,,[],,,,
1428589142695419906,1428589142695419906,2021-08-20 08:26:08 Turkey Standard Time,2021-08-20,08:26:08,+0300,3083968755,sanliurfaobm,Şanlıurfa Orman Bölge Müdürlüğü,,Basında Bugün Yer Alan Haberimiz 20.08.2021 #basın #gündem  #YeşilVatan  #OrmanCandır  https://t.co/drgp3mEqmO,tr,[],[],['https://pbs.twimg.com/media/E9NePxyWYAIT4fp.jpg'],0,1,3,"['basın', 'gündem', 'yeşilvatan', 'ormancandır']",[],https://twitter.com/sanliurfaobm/status/1428589142695419906,False,,1,https://pbs.twimg.com/media/E9NePxyWYAIT4fp.jpg,,,,,,,[],,,,
1428422442289188865,1428422442289188865,2021-08-19 21:23:43 Turkey Standard Time,2021-08-19,21:23:43,+0300,1400546024742174723,alfayigido1453,🥀EnDüLüS_🇹🇷الأندلس,,"Bir müslümanın diktiği ağaçtan veya ektiği ekinden insan, hayvan ve kuşların yedikleri şeyler, o müslüman için birer sadakadır. (HADİS-İ ŞERİF,Buhârî, Edeb, 27; Müslim, Müsâkât, 7, 10.) #YeşilVatan #HadisleriYaşayalım  https://t.co/ZmcWhKnrQv",tr,[],[],['https://pbs.twimg.com/media/E9LGpCUWQAUX-RV.jpg'],3,25,46,"['yeşilvatan', 'hadisleriyaşayalım']",[],https://twitter.com/Alfayigido1453/status/1428422442289188865,False,,1,https://pbs.twimg.com/media/E9LGpCUWQAUX-RV.jpg,,,,,,,[],,,,
1428418317983883265,1428418317983883265,2021-08-19 21:07:20 Turkey Standard Time,2021-08-19,21:07:20,+0300,1608159589,yucelavcioglu,Yücel AVCIOĞLU,,"Son dönemde daha yakından tanık oldunuz. Ancak onların her günü mücadeleyle geçiyor.   Uyku nedir bilmeden, ailelerinden kilometrelerce uzakta bir fidan, bir can kurtarmak uğruna çalışan fedakar kahramanlarımız var. #YeşilVatan sizlere minnettar. #OrmanınKahramanları  https://t.co/UDLrTz1RK8",tr,[],[],['https://pbs.twimg.com/media/E9LC48WX0AYuc1d.jpg'],0,3,15,"['yeşilvatan', 'ormanınkahramanları']",[],https://twitter.com/YucelAVCIOGLU/status/1428418317983883265,False,,1,https://pbs.twimg.com/media/E9LC48WX0AYuc1d.jpg,,,,,,,[],,,,
1428397816381050892,1428397816381050892,2021-08-19 19:45:52 Turkey Standard Time,2021-08-19,19:45:52,+0300,1347992767620907009,snnyldztr,🇹🇷Siɴᴀɴ🇵🇰Yıʟᴅıᴢ🇦🇿#Hedef2023🇶🇦,,"Cumhurbaşkanı Erdoğan:  [Orman yangınları]   ""Yanan yerleri en kısa sürede ağaçlandıracağız. Kesinlikle başka bir amaç için kullanılmayacak.""  #YeşilVatan #YenidenYeşerteceğiz  https://t.co/xSeY2FwDqs",tr,[],[],[],0,0,0,"['yeşilvatan', 'yenidenyeşerteceğiz']",[],https://twitter.com/snnyldzTR/status/1428397816381050892,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1428397758789165059/pu/img/7ot4T-GEW4ot0Pna.jpg,,,,,,,[],,,,
