id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1427999134062202880,95884968030511104,2021-08-18 17:21:39 Turkey Standard Time,2021-08-18,17:21:39,+0300,993969097875574785,eylemeyll8,TÜRKÇÜ EYLEM🇹🇷,,"@dbdevletbahceli O terk edilmişliğe destek veren , sebep olanların başındakilerden biri ,  en başından beri sensin #DevletBahceli !!  Uyan da balığa gidelim diyicem de, Su uyur , düşman uyumaz  Kim bilir yine ne katakulliler peşindesinİZ Devlet Bahçeli  #cumhurittifakı #akp #mhp",tr,[],[],[],0,0,0,"['devletbahceli', 'cumhurittifakı', 'akp', 'mhp']",[],https://twitter.com/eylemeyll8/status/1427999134062202880,False,,0,,,,,,,,"[{'screen_name': 'dbdevletbahceli', 'name': 'Devlet Bahçeli', 'id': '214017108'}]",,,,
1427998699985252358,95884968030511104,2021-08-18 17:19:55 Turkey Standard Time,2021-08-18,17:19:55,+0300,1422520462060494849,ferdayalcin36,FERDA YALÇIN,,@dbdevletbahceli Keşke sen o fırtanın tam ortasında kalsaydında bizde sana el sallasaydık çok güzel olurdu,tr,[],[],[],0,0,1,[],[],https://twitter.com/ferdayalcin36/status/1427998699985252358,False,,0,,,,,,,,"[{'screen_name': 'dbdevletbahceli', 'name': 'Devlet Bahçeli', 'id': '214017108'}]",,,,
1427997472828309510,95884968030511104,2021-08-18 17:15:03 Turkey Standard Time,2021-08-18,17:15:03,+0300,1418601691285528576,buzadamm1907,buzadamm,,@dbdevletbahceli Puskuvetın  etkısı  gectımı,tr,[],[],[],0,0,0,[],[],https://twitter.com/buzadamm1907/status/1427997472828309510,False,,0,,,,,,,,"[{'screen_name': 'dbdevletbahceli', 'name': 'Devlet Bahçeli', 'id': '214017108'}]",,,,
1427996403511537670,95884968030511104,2021-08-18 17:10:48 Turkey Standard Time,2021-08-18,17:10:48,+0300,1325462146294173696,harun53625273,Mehmet,,@dbdevletbahceli Millete hizmetiniz çok oldu.çok adam uyandı sayenizde.,tr,[],[],[],0,0,0,[],[],https://twitter.com/harun53625273/status/1427996403511537670,False,,0,,,,,,,,"[{'screen_name': 'dbdevletbahceli', 'name': 'Devlet Bahçeli', 'id': '214017108'}]",,,,
1427996360708706310,95884968030511104,2021-08-18 17:10:37 Turkey Standard Time,2021-08-18,17:10:37,+0300,970709326296993794,ytnuray1,nuray,,@dbdevletbahceli Kaptan nerde çay içip atmaklamı meşgul. Gerçek hesap 🤔😳🙄,tr,[],[],[],0,0,0,[],[],https://twitter.com/ytnuray1/status/1427996360708706310,False,,0,,,,,,,,"[{'screen_name': 'dbdevletbahceli', 'name': 'Devlet Bahçeli', 'id': '214017108'}]",,,,
1427995572619911169,95884968030511104,2021-08-18 17:07:30 Turkey Standard Time,2021-08-18,17:07:30,+0300,107470408,kammalco,Kamush#HerŞeyÇokGüzelOldu,,"@dbdevletbahceli hayırdır, yenimi anladın...",tr,[],[],[],0,0,0,[],[],https://twitter.com/kammalco/status/1427995572619911169,False,,0,,,,,,,,"[{'screen_name': 'dbdevletbahceli', 'name': 'Devlet Bahçeli', 'id': '214017108'}]",,,,
1427995071723581451,95884968030511104,2021-08-18 17:05:30 Turkey Standard Time,2021-08-18,17:05:30,+0300,1336438213376880641,besiktasli_naz,Naz Walter,,@dbdevletbahceli Memleket umrunuzda olmadığı için bu incileri aşık olduğunuz için dizmiş olmalısınız,tr,[],[],[],0,0,3,[],[],https://twitter.com/Besiktasli_Naz/status/1427995071723581451,False,,0,,,,,,,,"[{'screen_name': 'dbdevletbahceli', 'name': 'Devlet Bahçeli', 'id': '214017108'}]",,,,
1427994870178844679,95884968030511104,2021-08-18 17:04:42 Turkey Standard Time,2021-08-18,17:04:42,+0300,538921234,bakiyedeniz,TC bakiye deniz,,@dbdevletbahceli 🙄,und,[],[],[],0,0,0,[],[],https://twitter.com/bakiyedeniz/status/1427994870178844679,False,,0,,,,,,,,"[{'screen_name': 'dbdevletbahceli', 'name': 'Devlet Bahçeli', 'id': '214017108'}]",,,,
1427994802327588873,95884968030511104,2021-08-18 17:04:26 Turkey Standard Time,2021-08-18,17:04:26,+0300,815625578426564610,cisem0732,Cisem,,@dbdevletbahceli Sandikta halk sizede hesabını soracak güya Milliyetçiler!  Ülkeyi AKP ile birlikte bitirdiniz sandikta MHP diye vir partide kalmayacak ...,tr,[],[],[],0,0,6,[],[],https://twitter.com/Cisem0732/status/1427994802327588873,False,,0,,,,,,,,"[{'screen_name': 'dbdevletbahceli', 'name': 'Devlet Bahçeli', 'id': '214017108'}]",,,,
1427988476318920704,1426201602000658434,2021-08-18 16:39:18 Turkey Standard Time,2021-08-18,16:39:18,+0300,1394766167265394691,nightmare3548,nightmare,,@dbdevletbahceli #HudutNamustur  dedik sesiniz çıkmadı.  Mülteciler dağ gibi yayıldı ülkeye sesiniz çıkmadı.  Şimdi de barajı %5 e indirecek siniz öyle mi?  Yüzde 5 oy alabilecek misiniz? Sanmıyorum ...,tr,[],[],[],0,0,0,['hudutnamustur'],[],https://twitter.com/nightmare3548/status/1427988476318920704,False,,0,,,,,,,,"[{'screen_name': 'dbdevletbahceli', 'name': 'Devlet Bahçeli', 'id': '214017108'}]",,,,
1427976114161455111,1427976114161455111,2021-08-18 15:50:10 Turkey Standard Time,2021-08-18,15:50:10,+0300,1426683912550498307,mehdidevlet,MEHDİ DEVLET-İ ALİYYE-İ MUHAMMEDİYYE,,@dbdevletbahceli  KADERİN ÜSTÜNDE BİR KADER VARDIR . GÖKLERDEN GELEN BİR KARAR VARDIR. BİR SABAH GELECEK KARDAN AYDINLIK :),tr,[],[],[],0,0,0,[],[],https://twitter.com/MehdiDevlet/status/1427976114161455111,False,,0,,,,,,,,[],,,,
