id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1212161029985181702,1212161029985181702,2020-01-01 02:58:05 Turkey Standard Time,2020-01-01,02:58:05,+0300,1199923427945144320,serkan54046899,serkan,,@RTErdogan başkanım size herşeyden çok güveniyorum.... allah başımızdan eksik etmesin,tr,[],[],[],0,0,0,[],[],https://twitter.com/serkan54046899/status/1212161029985181702,False,,0,,,,,,,,[],,,,
1212160221122048001,1210543126126960640,2020-01-01 02:54:52 Turkey Standard Time,2020-01-01,02:54:52,+0300,1198932104828076032,mustafa51126177,Mustafa Bildik,,"@RTErdogan Sayın başkanım,her şey güzel.Umarım daha da iyi olur.Yalnız halkımızın alım gücü düşük ve sıkıntılı.İnanın yaşam şartları zor.Sizden ricamiz bu konuda çalışma yapmanız.",tr,[],[],[],0,0,0,[],[],https://twitter.com/Mustafa51126177/status/1212160221122048001,False,,0,,,,,,,,"[{'screen_name': 'RTErdogan', 'name': 'Recep Tayyip Erdoğan', 'id': '68034431'}]",,,,
1212159525656104960,1212116466419392513,2020-01-01 02:52:06 Turkey Standard Time,2020-01-01,02:52:06,+0300,1194328491380166657,ibrahim34036169,Ibrahima Kourouma,,"@RTErdogan Sayın Başkan, sesimin çok az sayıldığını çok iyi biliyorum, çünkü bölgenizde düzensizim.  Ama sizi temin ederim ki dünyadaki en iyi politikalardan birine sahipsiniz.  Size ve milletinize 2020 mutlu bir yıl diliyorum. Libya'daki müdahale projenizle ilgili olarak tam desteğim var.",tr,[],[],[],0,0,0,[],[],https://twitter.com/Ibrahim34036169/status/1212159525656104960,False,,0,,,,,,,,"[{'screen_name': 'RTErdogan', 'name': 'Recep Tayyip Erdoğan', 'id': '68034431'}]",,,,
1212158352110870532,1212116466419392513,2020-01-01 02:47:26 Turkey Standard Time,2020-01-01,02:47:26,+0300,787939926,rcpblk,🇹🇷recepbilik🇹🇷,,"@RTErdogan Özelleştirdiğiniz fabrikaları,yabancılara devredilen bankaları,limanları yazmamışsınız.",tr,[],[],[],0,0,0,[],[],https://twitter.com/Rcpblk/status/1212158352110870532,False,,0,,,,,,,,"[{'screen_name': 'RTErdogan', 'name': 'Recep Tayyip Erdoğan', 'id': '68034431'}]",,,,
1212158293801607169,1212116466419392513,2020-01-01 02:47:12 Turkey Standard Time,2020-01-01,02:47:12,+0300,734956586897158144,rahaali6,Raha Ali,,@RTErdogan Inshaallah Mr President,in,[],[],[],0,0,0,[],[],https://twitter.com/RahaAli6/status/1212158293801607169,False,,0,,,,,,,,"[{'screen_name': 'RTErdogan', 'name': 'Recep Tayyip Erdoğan', 'id': '68034431'}]",,,,
1212157766023991296,1212116466419392513,2020-01-01 02:45:06 Turkey Standard Time,2020-01-01,02:45:06,+0300,157909184,hfatihkose,Depas Amphikypellon,,@RTErdogan Sattıklarını da yazmazsan adam değilsin!!!,tr,[],[],[],0,0,0,[],[],https://twitter.com/hfatihkose/status/1212157766023991296,False,,0,,,,,,,,"[{'screen_name': 'RTErdogan', 'name': 'Recep Tayyip Erdoğan', 'id': '68034431'}]",,,,
1212157735380430849,1212116466419392513,2020-01-01 02:44:59 Turkey Standard Time,2020-01-01,02:44:59,+0300,1179444690934013952,bqtuhan4,Bqtuhan,,@RTErdogan @iletisim 2020 DE MASUM KADINLARA CEZA İNDİRİMİ VEYA EV HAPSİ BEKLİYORUZ ÇOCUKLAR ANNESİZ BÜYÜMESİN DİYE...  https://t.co/OZlSOex25E,tr,[],[],['https://pbs.twimg.com/media/ENJzA5MX0AEl7yx.jpg'],0,1,0,[],[],https://twitter.com/Bqtuhan4/status/1212157735380430849,False,,1,https://pbs.twimg.com/media/ENJzA5MX0AEl7yx.jpg,,,,,,,"[{'screen_name': 'RTErdogan', 'name': 'Recep Tayyip Erdoğan', 'id': '68034431'}, {'screen_name': 'iletisim', 'name': 'T.C. İletişim Başkanlığı', 'id': '194792183'}]",,,,
1212157686407671809,1212116466419392513,2020-01-01 02:44:47 Turkey Standard Time,2020-01-01,02:44:47,+0300,1188558614191054848,systakahve,systakahve,,@RTErdogan Sizlerinde yeni yılı kutlu olsun sayın başkan,tr,[],[],[],0,0,0,[],[],https://twitter.com/systakahve/status/1212157686407671809,False,,0,,,,,,,,"[{'screen_name': 'RTErdogan', 'name': 'Recep Tayyip Erdoğan', 'id': '68034431'}]",,,,
1212157422221045760,1212116466419392513,2020-01-01 02:43:44 Turkey Standard Time,2020-01-01,02:43:44,+0300,877051229016293376,kayrakagan7,Tarzan Rıfkı,,@RTErdogan Sarı lira vereceğim,tr,[],[],[],0,0,0,[],[],https://twitter.com/Kayrakagan7/status/1212157422221045760,False,,0,,,,,,,,"[{'screen_name': 'RTErdogan', 'name': 'Recep Tayyip Erdoğan', 'id': '68034431'}]",,,,
1212156764994646016,1212116466419392513,2020-01-01 02:41:08 Turkey Standard Time,2020-01-01,02:41:08,+0300,2773587226,mustafaokur999,Mustafa Okur,,@RTErdogan Yeni yiliniz kutlu olsun saglik ve mutluluklar dilerim Insallah Türkiyemin ve Trabzonsporun Yili olur,tr,[],[],[],0,0,0,[],[],https://twitter.com/mustafaokur999/status/1212156764994646016,False,,0,,,,,,,,"[{'screen_name': 'RTErdogan', 'name': 'Recep Tayyip Erdoğan', 'id': '68034431'}]",,,,
1212156446873411584,1212116466419392513,2020-01-01 02:39:52 Turkey Standard Time,2020-01-01,02:39:52,+0300,1142078983841964034,4bli_seyma,Şeyma,,@RTErdogan Çok şey kazandırdınız ama bizleri kaybettiniz kalpler kırık kaldı ki en önemlisi de bu! Kadro vermediğiniz için yazmıyorum bunları! Bizi görmezden geldiğiniz yok saydığınız için yazıyorum!,tr,[],[],[],0,1,3,[],[],https://twitter.com/4bli_seyma/status/1212156446873411584,False,,0,,,,,,,,"[{'screen_name': 'RTErdogan', 'name': 'Recep Tayyip Erdoğan', 'id': '68034431'}]",,,,
1212155672504258562,1212155672504258562,2020-01-01 02:36:47 Turkey Standard Time,2020-01-01,02:36:47,+0300,4289544288,mehmetsuvar1,Mehmet SUVARİ,,"@RTErdogan , ihanette kararlı mısınız?",tr,[],[],[],0,0,0,[],[],https://twitter.com/MehmetSUVAR1/status/1212155672504258562,False,https://twitter.com/T_Karamollaoglu/status/1207664863339782144,0,,,,,,,,[],,,,
1212155517801582597,1212116466419392513,2020-01-01 02:36:10 Turkey Standard Time,2020-01-01,02:36:10,+0300,572225193,sevg61,♥ ∞ ♥sevoloji♥ ∞ ♥ #Sǝʌᵷᴉ༺ 🇹🇷 ༻,,"@RTErdogan Amin.Reisimız.Yeni yıl,sağlık,huzur,mutluluk,başarı,kolaylıklar getirsin.Vatanımıza,milletimize ve tüm insanliğa da hayır getirsin.",tr,[],[],[],0,0,0,[],[],https://twitter.com/Sevg61/status/1212155517801582597,False,,0,,,,,,,,"[{'screen_name': 'RTErdogan', 'name': 'Recep Tayyip Erdoğan', 'id': '68034431'}]",,,,
1212155407621402624,1212116466419392513,2020-01-01 02:35:44 Turkey Standard Time,2020-01-01,02:35:44,+0300,1150497538568597505,brahimy84616018,İbrahim Yüksel,,@RTErdogan Allah cc yar ve yardımcınız olsun İnşallah,tr,[],[],[],0,0,0,[],[],https://twitter.com/brahimY84616018/status/1212155407621402624,False,,0,,,,,,,,"[{'screen_name': 'RTErdogan', 'name': 'Recep Tayyip Erdoğan', 'id': '68034431'}]",,,,
